unique_carrier,year,month,total_gallons
KLQ,2018,4,144176
KLQ,2018,5,158255
KLQ,2018,6,161744
KLQ,2018,7,119455
KLQ,2018,8,204878
KLQ,2018,9,222695
KLQ,2018,10,293289
KLQ,2018,11,358665
KLQ,2018,12,167131
KLQ,2019,1,192731
KLQ,2019,2,215582
KLQ,2019,3,359403
KLQ,2019,4,228067
KLQ,2019,5,156660
KLQ,2019,6,148153
KLQ,2019,7,126688
KLQ,2019,8,114311
KLQ,2019,9,150717
L2,2018,1,212671
L2,2018,2,204640
L2,2018,3,183939
L2,2018,4,196223
L2,2018,5,299886
L2,2018,6,297357
L2,2018,7,297382
L2,2018,8,262850
L2,2018,9,194394
L2,2018,10,183110
L2,2018,11,258151
L2,2018,12,219581
L2,2019,1,199796
L2,2019,2,128692
L2,2019,3,186550
L2,2019,4,167474
L2,2019,5,358406
L2,2019,6,397811
L2,2019,7,413022
L2,2019,8,309511
L2,2019,9,333868
M6,2018,1,1832524
M6,2018,2,1781504
M6,2018,3,2207192
M6,2018,4,2026569
M6,2018,5,1985370
M6,2018,6,1841354
M6,2018,7,1752148
M6,2018,8,1683147
M6,2018,9,1615715
M6,2018,10,1763174
M6,2018,11,1906676
M6,2018,12,2020452
M6,2019,1,1772892
M6,2019,2,1863005
M6,2019,3,2328831
M6,2019,4,2271221
M6,2019,5,2308945
M6,2019,6,2190840
M6,2019,7,2368963
M6,2019,8,2329836
M6,2019,9,2074241
MQ,2018,1,0
MQ,2018,2,0
MQ,2018,3,0
MQ,2018,4,0
MQ,2018,5,0
MQ,2018,6,0
MQ,2018,7,0
MQ,2018,8,0
MQ,2018,9,0
MQ,2018,10,0
MQ,2018,11,0
MQ,2018,12,0
MQ,2019,1,0
MQ,2019,2,0
MQ,2019,3,0
MQ,2019,4,0
MQ,2019,5,0
MQ,2019,6,0
MQ,2019,7,0
MQ,2019,8,0
MQ,2019,9,0
N8,2018,1,1113523
N8,2018,2,857540
N8,2018,3,1456056
N8,2018,4,1044570
N8,2018,5,1155700
N8,2018,6,1384394
N8,2018,7,1176339
N8,2018,8,2070072
N8,2018,9,1002604
N8,2018,10,914262
N8,2018,11,243548
N8,2018,12,49702
N8,2019,1,798009
N8,2019,2,304554
N8,2019,3,1134904
N8,2019,4,1431538
N8,2019,5,1165113
