unique_carrier,year,month,distance,passengers
KL,2019,10,307131,205864
3SD,2018,12,2632,1325
FX,2018,3,1312941,0
IB,2019,4,165510,128453
SK,2019,10,132224,117329
2GQ,2019,1,9611,0
FI,2018,10,160903,120679
NC,2018,1,30918,0
RU,2019,9,141002,0
JL,2018,6,192913,219729
14Q,2018,7,45813,218
2OQ,2018,3,1270,1530
SE,2019,6,51930,34545
KZ,2018,5,57484,0
NZ,2018,12,114096,97922
ADB,2019,3,16661,0
CZ,2018,3,113222,70863
WST,2019,7,160,899
NZ,2018,9,104714,97699
22Q,2018,8,1580,0
HX,2019,7,32650,29820
VIQ,2019,11,30396,0
X9,2019,4,79501,10264
CH,2018,4,1592,0
JU,2019,2,9022,2599
AAT,2018,7,908,1207
LP,2019,2,19140,43775
KAH,2018,1,2278,2175
SY,2019,4,500045,325905
L7,2019,1,50704,0
3DQ,2018,7,650,2204
GCQ,2019,2,9912,20
5Y,2018,5,549079,209
QF,2019,10,164876,128201
E7,2018,2,2552,0
M6,2019,3,101275,0
KO,2019,6,43366,849
M7,2018,1,5689,0
G3,2018,11,32826,20441
MP,2018,10,21319,0
SNK,2018,8,1475,911
SU,2019,12,2138,2
JJ,2019,8,78655,96436
4W,2019,6,7755,2634
SU,2018,6,51990,95896
KH,2018,10,1534,0
5D,2019,7,41182,88053
AT,2019,11,30404,19007
Q5,2018,5,998,45
VJT,2018,10,393275,381
AV,2018,5,85386,134122
EK,2018,12,236237,305513
SY,2019,2,411328,325761
BX,2019,10,7168,8141
AV,2019,10,100548,144730
9K,2018,7,9656,53833
1XQ,2019,6,20012,16
3F,2019,6,2099,1367
38Q,2018,7,1229,3121
2EQ,2019,3,216,70
GEQ,2019,1,41885,36
2AQ,2019,5,10154,14
8R,2018,10,50026,21968
O6,2018,11,29661,19694
QK,2019,8,48588,186850
H6,2018,2,95216,19189
MQ,2018,6,422698,1250291
CC,2018,3,50545,0
SY,2019,3,568865,423626
WI,2019,2,87300,0
Z3,2019,9,3646,418
SV,2019,7,69118,40081
SN,2019,8,15118,27168
J5,2019,1,6616,2612
BR,2018,5,142632,165349
36Q,2018,12,4388,7181
PY,2018,10,6204,4272
YV,2018,9,269920,1188224
3E,2018,7,5480,7508
HU,2019,5,174804,80413
J2,2019,12,11662,2165
AT,2019,3,14878,17818
HY,2018,9,8406,4631
MP,2019,1,21319,0
DHQ,2019,5,7287,0
LH,2019,11,421869,441955
F9,2019,9,1400511,1855052
AM,2018,9,100821,218250
AD,2018,10,66507,44372
KQ,2019,4,14720,6438
RVQ,2018,7,326,134
KQ,2018,10,14720,788
JL,2019,11,169468,197933
KU,2019,4,12704,14464
Q5,2018,10,636,71
34Q,2018,4,2288,20
QY,2019,7,27724,0
CV,2019,4,196746,0
D7,2019,11,8234,17645
KO,2019,10,40944,824
KZ,2019,3,38635,0
5Y,2018,4,501553,463
F9,2018,6,1030901,1752051
SE,2018,6,38954,29570
YX,2019,5,661909,1626991
KV,2019,3,28068,189642
K2,2019,5,13642,3164
7L,2019,11,32587,0
GL,2018,9,62729,5084
2LQ,2019,8,12774,1767
JL,2018,3,152292,198146
AA,2019,2,3006982,11288789
UP,2019,11,4956,35943
I4,2019,4,1032,1509
J2,2018,6,11662,2847
CZ,2018,8,113222,90411
LP,2019,11,24730,53089
HY,2018,12,12678,3769
0BQ,2019,8,8296,4
5D,2019,5,49714,63154
ZW,2019,10,92697,372629
3E,2018,1,5434,6759
7L,2018,11,12356,0
AR,2018,6,19376,37346
KU,2018,7,12704,18438
2HQ,2019,3,7504,2294
3E,2018,12,5482,6355
9E,2019,8,329892,1412313
J2,2019,3,11662,1360
14Q,2019,3,44417,226
ZX,2019,7,17420,110156
BF,2019,9,19560,18360
7H,2019,7,39428,45936
OS,2019,9,57106,59264
OZ,2019,7,5995,13755
WL,2019,4,94438,3662
K3,2018,3,3644,377
ET,2019,2,61710,25724
MF,2018,9,80594,18435
3M,2018,1,9618,54164
MQ,2019,9,410084,1231987
TA,2019,10,69923,94216
LH,2018,1,480451,408995
LJ,2019,4,7586,27784
VH,2019,4,4944,3849
UX,2019,3,8848,13481
AX,2019,12,121809,265726
PO,2018,10,200518,0
ELL,2018,2,408,3
WG,2018,7,2446,1797
CRV,2019,3,4044,32
GFQ,2019,3,79601,0
K2,2019,7,16934,2345
HA,2018,7,257224,1080633
NK,2019,2,1042578,2323343
QX,2018,11,110958,615531
PEQ,2019,11,1644,0
7L,2019,5,19458,0
WN,2019,7,2596222,15083298
YR,2019,2,2296,7980
AS,2019,6,1555358,3280304
G3,2018,6,6690,0
SN,2019,5,15118,26996
1EQ,2018,8,9271,802
Y4,2018,11,356588,243180
3EQ,2019,5,191196,555
D7,2018,9,16284,7788
5Y,2019,9,608853,3175
1UQ,2019,2,9688,26
04Q,2019,10,56899,1987
SVW,2019,3,18034,48
KL,2019,3,259687,154906
JJ,2018,3,68212,96298
N8,2018,11,13753,1406
XL,2019,9,9784,11795
TQQ,2018,4,5216,12127
RVQ,2018,12,326,2
RV,2019,11,125420,329423
QR,2018,10,176152,124936
F9,2018,11,1373023,1609301
GFQ,2018,8,53816,0
KH,2019,2,1534,0
XL,2019,10,5940,12114
BX,2018,8,3584,7405
AT,2019,4,23520,25207
2HQ,2018,9,25570,1745
Z3,2018,4,3842,461
VJT,2019,8,305736,410
