unique_carrier,year,month,distance,passengers
FJ,2019,10,58684,21960
TA,2019,3,97240,115086
NLQ,2019,4,9202,242
KAQ,2018,1,248401,0
W8,2018,3,19106,0
2GQ,2019,10,2329,0
GFQ,2018,11,64616,0
X4,2018,9,779,815
SEB,2019,3,4547,16216
7H,2018,2,14886,26701
1TQ,2019,1,2221,0
CH,2018,12,995,0
24Q,2018,12,5441,3
AX,2019,4,84497,250864
EI,2018,11,103658,185256
6R,2018,2,23631,0
PT,2018,4,55082,292627
M7,2019,11,6965,0
Y4,2018,7,357205,289832
CRV,2018,7,7817,25
0QQ,2019,10,21410,62
RJ,2018,10,36484,21840
YV,2018,8,289595,1315639
5D,2018,10,45544,62605
UO,2018,8,2138,3081
LXQ,2019,6,4083,7
JL,2019,7,203797,207632
EY,2019,8,78544,69756
VI,2019,4,474,7767
2TQ,2018,2,2725,227
M6,2019,11,90820,0
FI,2019,4,118208,96112
AS,2018,6,1324960,3321014
OO,2018,12,1441089,3246691
TN,2018,6,19530,35960
OH,2018,11,283866,1154691
1QQ,2019,11,90,1802
MP,2018,7,19532,0
WW,2018,1,72928,69708
5Y,2019,12,756002,3661
H6,2019,3,96060,20905
AAT,2018,2,1075,942
VS,2018,10,287858,356748
RJ,2018,11,36484,16853
TR,2018,3,8234,11237
RVQ,2018,4,326,2
TEQ,2019,8,10076,2
04Q,2018,1,30086,3834
PY,2019,10,6204,4281
0UQ,2019,10,19855,0
VA,2019,8,45134,44386
8C,2019,9,99915,0
KZ,2019,4,44678,0
JJ,2018,12,140102,121252
HX,2019,10,32650,11572
P3,2018,7,67862,0
3F,2019,8,1847,3103
3SD,2019,3,2632,1537
VW,2018,8,934,1472
BR,2018,8,143547,179618
38Q,2018,4,1229,3856
Q5,2019,10,1003,42
SU,2018,10,58068,69389
1PQ,2018,4,140,771
1YQ,2018,3,888,873
5D,2019,11,34598,54805
AS,2018,2,1090802,1943444
AF,2018,5,233738,342823
GCH,2018,7,59,0
QR,2019,11,176152,164496
NK,2018,7,701107,2828565
6R,2018,11,25372,0
AT,2019,5,23520,20600
CI,2019,11,184940,77860
LX,2018,7,107216,155814
QR,2018,11,176152,130182
OO,2018,3,1202474,3217662
8C,2018,1,123957,0
YR,2019,10,5250,16554
KH,2018,2,1581,0
PH,2019,4,468,4589
GFQ,2019,12,34894,0
AV,2018,1,90682,136614
CX,2018,1,211608,190495
4O,2018,8,70262,196349
UP,2018,5,7878,42266
AI,2019,8,75642,78679
4O,2018,5,61112,178106
MP,2019,6,19532,0
MS,2018,4,11230,13883
GV,2018,12,31775,10047
1ZQ,2019,12,10443,74
Y8,2018,5,7057,0
CH,2019,8,796,0
KAQ,2019,3,255130,0
7S,2019,8,50167,255
KAH,2018,9,7290,7923
9K,2019,11,8824,36974
24Q,2018,1,16610,10
24Q,2019,5,4670,6
ET,2018,1,46556,32508
RJ,2018,9,48594,24503
EY,2018,2,118746,75782
FX,2018,10,1275083,0
GCH,2018,3,59,0
3M,2019,5,14442,59905
3U,2018,9,34076,21212
TR,2018,2,8234,9331
F9,2019,7,1378574,2194860
UA,2019,1,4865458,8283350
CH,2019,11,995,0
AAT,2018,12,1278,1704
3U,2019,1,34076,24419
FJ,2018,8,47164,21348
LH,2018,10,639594,538489
M6,2018,4,132556,0
VR,2018,5,6776,1495
BX,2018,6,3584,7125
CM,2018,8,86884,266849
VR,2019,5,6776,1489
AZ,2018,2,44030,43104
TQQ,2018,1,5216,13822
4W,2018,1,6374,1835
0UQ,2018,10,11961,23
U7,2018,1,102948,0
PT,2019,12,62701,437043
PD,2019,3,6624,65498
NQ,2018,8,7638,13957
K2,2018,7,20769,3366
5D,2018,5,44381,61778
KQ,2019,6,14720,9785
TR,2018,8,8234,9474
SA,2018,6,34538,26420
LV,2019,4,7296,7569
HA,2019,6,236165,986336
HA,2019,8,268186,1044138
PEQ,2019,4,1707,0
J5,2018,4,6891,6110
B6,2018,6,857225,3688934
1HQ,2018,10,16910,25
CM,2019,11,79386,225770
WW,2018,6,92308,128369
SY,2019,5,482993,301061
0J,2019,8,11676,4
1PQ,2018,1,140,943
1XQ,2019,9,7270,4
EV,2018,1,458776,829852
WI,2019,7,59339,0
RU,2018,10,176552,0
AR,2018,1,19376,41958
1BQ,2018,8,31342,22334
3SD,2018,1,2632,1253
PS,2018,5,9388,16969
AX,2019,7,99333,273606
KS,2018,1,19604,16532
CM,2019,8,84560,248427
FYQ,2018,12,7274,9
S4,2018,6,35985,16053
UX,2018,8,23964,31122
PS,2019,7,9388,18992
CRV,2019,4,18778,48
KO,2018,5,32583,272
VR,2018,12,6776,1077
2E,2018,3,172,2134
1WQ,2019,12,2758,3927
NLQ,2019,10,6526,235
3AQ,2018,7,4125,215
VR,2019,4,6776,1166
OZ,2018,12,150594,118976
CH,2018,5,1393,0
1QQ,2018,7,90,2023
5V,2018,4,45735,184
KD,2019,12,131466,0
GFQ,2018,12,65019,0
AA,2019,11,3283184,12281497
Z3,2019,7,2605,474
XL,2019,4,5940,12397
CI,2019,4,162975,70084
TA,2019,11,69758,101672
8E,2018,9,50519,11725
LO,2019,8,134820,95724
AAT,2018,10,1076,939
KZ,2019,7,42934,0
KAQ,2018,2,236734,0
K2,2018,1,12409,2032
WL,2018,6,76170,20257
PD,2018,3,11664,63659
5Y,2019,8,577403,739
5V,2019,3,46125,372
AM,2018,10,96257,230911
Q5,2018,7,636,94
C5,2018,2,36688,103989
CAZ,2018,4,24884,10
3AQ,2018,5,6843,479
CZ,2018,11,113224,71386
YX,2018,4,652807,1585944
4B,2019,10,12658,18395
N8,2019,10,43785,0
3AQ,2018,11,1664,368
04Q,2019,1,32595,3517
X4,2019,12,246,252
0Q,2019,2,3997,7
AN,2019,5,31002,2866
PS,2018,4,9388,14373
0CQ,2018,9,26042,14
FJ,2018,12,49822,20873
ZW,2019,8,101067,362033
14Q,2018,9,36952,223
AD,2018,4,38408,54832
O6,2018,7,25637,23664
7H,2019,6,30726,40356
VI,2018,2,440,4926
VA,2019,4,45134,45007
PO,2019,8,188139,0
OZ,2019,4,164042,115078
TQQ,2018,2,5216,13088
1SQ,2019,8,1598,10012
8R,2018,8,53048,23667
TA,2018,6,71785,98933
SA,2019,4,34538,28553
8R,2018,12,19364,2629
ET,2018,6,61710,35296
24Q,2018,8,43929,27
PFQ,2018,9,22876,0
1UQ,2019,7,19076,356
MU,2019,12,94020,121292
VB,2018,10,15671,30964
CX,2019,7,230338,226039
OS,2018,8,58056,62690
SQ,2018,2,123951,62814
AJQ,2018,5,29715,6825
2RQ,2018,1,6420,1
EQ,2018,8,9526,20240
VS,2018,8,229399,409200
8E,2019,11,50655,9146
M7,2018,12,6965,0
LP,2019,12,24922,57956
26Q,2019,9,7728,4
2OQ,2018,7,1270,1984
AC,2019,8,184979,502775
PY,2018,7,6204,5406
M3,2019,10,45890,0
MF,2018,7,55030,23701
SQ,2018,1,123994,73508
KU,2019,7,12704,17008
OH,2019,12,370071,1322315
1TQ,2019,12,2554,0
CK,2018,7,31301,0
EV,2018,10,278590,709078
5D,2018,4,45967,63904
Q6,2018,8,16992,10957
6R,2019,12,28261,0
1EQ,2019,4,10205,1494
GCQ,2019,5,21222,40
PS,2018,11,9388,11054
G7,2019,3,205235,443925
5J,2018,2,3194,2879
NC,2018,11,43349,0
S4,2019,8,22396,19377
MT,2019,5,44476,58394
L2,2018,6,22060,0
9V,2019,4,5944,10518
KX,2018,2,8825,13949
JQ,2019,6,21140,19994
HU,2018,4,216812,71680
H6,2018,3,103249,21710
NC,2018,7,41645,0
BA,2019,8,395377,715108
LH,2019,2,520747,345445
LX,2018,2,115960,93541
VS,2018,12,189866,287673
CV,2018,2,195488,0
M3,2018,10,48338,0
4W,2018,5,9092,2569
VR,2019,8,6776,1346
FX,2018,5,1242606,0
5D,2018,9,47779,51090
KLQ,2019,11,80411,0
JU,2018,12,9022,5112
7L,2018,8,24018,0
KAQ,2018,3,255126,0
QX,2018,9,77137,571974
JD,2019,12,3828,3586
JD,2019,10,3828,2722
WST,2018,9,160,509
SV,2018,4,69118,24814
AY,2019,8,39208,47877
5D,2019,12,42046,68640
DL,2018,12,4115911,11953577
0Q,2018,12,6890,4
8C,2018,9,85618,0
FX,2019,2,1273913,0
3M,2019,3,13619,70182
NEW,2019,8,68,5910
NZ,2019,1,127128,101564
10Q,2019,8,1577,2
2OQ,2018,9,1364,1361
LA,2019,9,175639,75823
CM,2019,9,76048,219327
AV,2019,5,87809,148235
NK,2019,4,1137059,2793473
CRV,2018,1,3228,12
SN,2019,1,7334,10232
KZ,2018,10,45379,0
26Q,2019,10,17538,10
8V,2019,5,33040,6876
36Q,2019,1,12986,14
J5,2019,12,6115,3105
SV,2019,3,69118,23990
AR,2018,2,19376,38648
AT,2019,1,14878,17844
PR,2018,11,59408,73880
CP,2019,11,69906,396506
TN,2018,3,19530,28143
LJ,2018,12,7586,32991
SNK,2018,2,1015,287
12Q,2018,3,11048,12
F9,2018,3,555965,1610156
2E,2019,5,698,2428
WL,2019,8,3181,1977
VA,2019,10,45134,43927
3S,2018,10,47255,0
X9,2019,9,59916,19252
KE,2019,11,403232,252202
UO,2018,5,2138,2806
JJ,2018,7,162787,115783
KFQ,2019,4,23995,35
LH,2018,4,473540,507861
13Q,2019,4,91011,517
3DQ,2019,12,222,0
EV,2019,9,229286,504935
QF,2018,6,155052,145366
CZ,2019,9,140042,75142
J2,2018,7,11662,3429
AY,2019,7,39208,49172
TR,2018,7,8234,9942
JU,2018,10,9022,6629
LH,2019,6,523821,619459
3EQ,2019,1,64547,496
KU,2018,8,12704,18449
UA,2019,8,5404318,10794003
4M,2018,9,12914,11279
N8,2018,1,38835,1650
NC,2019,8,48123,0
3M,2019,8,17620,49702
GV,2018,9,37000,9974
TQQ,2018,8,13601,18406
Q5,2018,2,814,29
G7,2019,8,171656,401256
AR,2019,1,19376,38467
JL,2018,7,173380,208478
VH,2019,10,2776,4748
7S,2018,1,34814,94
3S,2018,3,42803,0
KU,2019,8,12704,17317
BR,2019,12,129131,173343
3F,2018,11,618,237
JD,2019,11,3828,3167
15Q,2018,3,43732,38
PT,2018,7,42918,327285
CH,2018,11,1592,0
Q5,2019,8,636,38
AR,2018,3,19376,41841
IFQ,2019,5,17646,28
GL,2018,12,174775,14397
HA,2019,4,235136,928070
3AQ,2019,8,6129,385
8E,2019,2,39304,6918
PR,2019,11,99885,80241
MU,2018,7,94018,122413
AZ,2018,12,56368,66610
K3,2018,9,3952,6472
CH,2018,2,1393,0
B6,2019,11,947160,3405605
QF,2019,2,162204,114130
AF,2018,11,215364,273482
FX,2018,11,1651906,0
0CQ,2018,12,7740,8
1QQ,2018,5,90,1057
D7,2019,1,8234,17376
VW,2018,1,934,1328
TA,2019,1,84931,120395
8E,2019,12,45145,9412
AZ,2018,7,74570,122600
MP,2018,5,33617,0
KU,2019,10,12704,13315
BY,2018,3,38268,2946
1QQ,2018,3,90,1845
MW,2018,10,2373,19955
VW,2018,3,934,1335
EAU,2019,5,11097,11
KL,2019,7,279820,208455
OH,2018,6,278891,1090327
9V,2018,1,5944,12662
1YQ,2018,1,1413,40
8V,2019,8,45703,8183
JJ,2018,5,101322,93945
8E,2018,12,36850,7715
VJT,2019,11,339554,354
SE,2019,4,7270,11485
BA,2018,4,405792,632461
OH,2019,9,285731,1215059
BX,2019,3,7168,7718
TK,2018,4,178270,177776
OR,2018,5,33678,5580
HY,2019,7,12678,6445
PR,2018,10,75864,65051
8C,2019,2,83605,0
5V,2019,10,50056,684
VH,2019,1,4944,7682
TN,2019,7,19530,41751
0BQ,2018,1,27159,26
8E,2019,1,48397,11263
KZ,2018,2,60633,0
KZ,2019,2,38635,0
LA,2018,12,154443,71081
U7,2018,10,206849,0
AY,2018,10,38346,30060
X4,2019,3,224,292
ZW,2019,6,106500,365927
OR,2018,8,18304,5201
AA,2018,9,3051560,11131731
1TQ,2018,1,2539,0
KLQ,2019,4,52537,0
AA,2019,9,3207757,12227544
W8,2019,3,28347,0
J5,2019,11,7099,4305
PO,2019,7,188139,0
K2,2018,2,8622,1435
0J,2019,1,7236,4
HX,2019,8,32650,28784
AAT,2018,11,998,1156
ET,2019,4,43510,28816
BF,2018,8,19560,18828
HY,2019,10,12678,4699
ELL,2019,1,408,8
14Q,2018,1,40652,175
EM,2018,2,13711,16961
13Q,2018,7,71471,370
MS,2019,11,22916,20440
MP,2019,4,21319,0
9K,2019,7,9404,52700
B6,2018,4,870476,3613762
KE,2018,2,445110,226214
1YQ,2018,9,1297,475
CH,2018,6,1393,0
PO,2018,6,181515,0
2RQ,2019,10,11312,2
AD,2019,9,64447,39488
G7,2019,7,143881,405721
J5,2018,1,5841,3087
2AQ,2019,6,19987,48
25Q,2018,4,9106,12
KH,2018,9,1534,0
G3,2019,2,51146,26247
WS,2018,11,369920,476130
ZX,2019,8,17420,116336
LR,2018,11,33949,27173
DI,2019,8,134488,171013
3F,2018,10,1037,257
B0,2019,6,22606,9298
3DQ,2018,10,466,1722
1AQ,2018,4,8696,2640
R0,2019,12,242,211
ELL,2019,2,408,4
MQ,2019,10,414967,1339872
QK,2019,4,47933,144480
VA,2018,4,45134,37311
TP,2019,3,43196,53598
5X,2019,11,1257048,0
OH,2018,3,253877,1177814
Q5,2019,11,1376,45
3S,2018,7,47255,0
0UQ,2019,11,13002,30
QK,2019,2,46695,119287
HY,2019,8,12678,6173
7L,2018,5,24018,0
TN,2018,10,19530,33812
AR,2019,5,19376,35911
GCQ,2019,12,14704,25
D8,2018,12,38210,58131
0CQ,2018,1,4085,2
NLQ,2018,1,8186,42
4M,2018,11,8812,11668
HU,2018,10,243346,70910
JL,2019,4,169468,174768
4M,2018,1,8812,16933
EQ,2019,2,3882,3615
1TQ,2019,10,2097,0
TA,2019,6,71139,107669
EV,2019,7,216800,535375
OS,2018,9,58056,56485
S4,2019,10,9388,9170
LX,2019,5,123964,136503
8V,2019,9,31030,6731
2GQ,2019,9,10172,0
JD,2018,9,3828,3869
04Q,2018,7,55806,6528
PT,2019,7,63517,445942
1TQ,2018,2,2217,0
BR,2018,1,148863,176476
EI,2018,4,94572,170221
CM,2019,12,87428,256738
3AQ,2019,3,1056,190
KH,2018,12,1497,0
CZ,2019,3,125062,83763
UA,2018,6,4854710,10641050
ZW,2019,5,93624,358422
AR,2018,12,19376,34716
W8,2019,11,44391,0
2E,2019,6,498,2503
CAZ,2019,4,31008,37
8R,2018,2,19364,2107
4C,2018,11,4099,8320
1UQ,2019,8,10904,245
OZ,2018,4,149956,138338
PM,2019,6,878,0
4W,2018,9,13862,2967
CRV,2019,6,9164,10
IB,2018,12,104624,96305
3DQ,2019,2,466,1145
1ZQ,2018,7,35432,83
PD,2018,11,3104,68537
PD,2018,5,4478,80910
NZ,2019,4,135904,91280
Y8,2018,10,7058,0
DE,2019,11,38240,13787
EM,2018,12,16370,17055
VR,2018,3,6776,1150
3AQ,2019,7,3246,366
EV,2019,1,312120,522324
8R,2018,1,19364,2873
LR,2018,7,17842,19059
ELL,2019,6,408,69
FJ,2019,5,47164,21279
AM,2019,9,71463,164183
38Q,2018,12,1588,3943
NLQ,2019,11,7089,352
AY,2018,12,38346,21886
TA,2018,10,120664,105335
VB,2018,11,19465,36328
34Q,2018,12,2378,16
MQ,2019,4,351104,1206395
GL,2019,9,82830,5787
D8,2018,6,80112,54698
OH,2018,1,306066,1017681
J5,2018,2,6610,2198
CZ,2018,7,113222,87624
K2,2018,8,25199,3838
VA,2018,5,45134,31672
ET,2019,8,57444,44855
Z3,2018,6,2144,744
MU,2019,9,94020,113145
EK,2019,4,236237,262405
KAQ,2019,4,271885,0
DL,2018,7,4092282,14608917
B6,2018,9,825271,3208806
0Q,2019,5,24686,17
M3,2018,2,58259,0
L2,2019,3,16462,0
ZK,2018,1,4284,2493
D8,2019,9,12384,10909
KV,2018,10,28484,209643
WS,2019,7,208328,387486
2O,2018,8,11035,2686
CZ,2018,1,113222,71939
SA,2018,12,34538,27757
LO,2018,9,138482,69133
OS,2018,1,54262,26349
Z3Q,2019,12,140,2141
EW,2018,11,38012,16591
M7,2019,8,5689,0
3U,2019,6,34076,27126
I4,2018,12,1965,1480
2E,2019,2,172,1475
LF,2018,1,117475,6470
TR,2019,4,8234,11166
1YQ,2019,8,1194,1612
QX,2018,3,101566,592027
EI,2019,8,111130,243699
TP,2019,12,76198,82142
PT,2018,3,45593,273251
B6,2019,6,948063,3683952
3E,2018,6,5480,6907
9V,2018,8,5944,11154
OZ,2019,6,185873,133867
9X,2018,6,6786,8396
Y4,2019,2,357293,219903
QK,2018,8,61629,191765
2TQ,2019,11,2304,146
OZ,2019,8,160037,138055
LA,2018,9,151199,70425
Q6,2018,10,16992,9621
SN,2018,8,15118,29740
MW,2018,7,2426,25589
2OQ,2018,4,1270,1347
VJT,2018,8,336069,416
4O,2018,11,72932,178876
LY,2019,3,96582,56716
36Q,2019,11,8693,4
EW,2018,4,39544,4027
FI,2019,7,124594,157215
DY,2018,1,610613,260982
LA,2019,7,148502,85396
1BQ,2019,3,20467,5722
9E,2019,10,272090,1310059
NZ,2019,7,127132,102312
EK,2018,1,244872,304169
QK,2018,7,53957,192035
WN,2018,5,2444958,14838662
12Q,2018,4,18439,7
3SD,2019,11,2632,2013
KE,2019,10,432107,272078
KV,2018,1,31689,144670
VW,2018,5,934,891
QX,2019,3,116051,654058
JQ,2018,8,21140,21140
FI,2019,6,123302,168944
GL,2019,7,49932,7543
WL,2018,5,106921,16858
1AQ,2019,3,20277,3773
X4,2018,2,328,77
GL,2019,6,91167,10908
VB,2018,6,26839,30066
LR,2019,1,26964,30694
PH,2018,1,468,5642
PP,2019,3,12132,6
CA,2018,4,173151,140300
O6,2018,12,29661,30405
FI,2018,11,121758,101695
CI,2018,5,210448,68286
BF,2019,7,19560,19565
G4,2019,1,819152,937311
CAZ,2018,3,15690,6
YR,2018,8,6525,25970
CK,2019,11,31301,0
PT,2019,10,58284,461390
KH,2018,11,1497,0
CI,2018,1,208434,78676
AY,2018,4,17106,19045
IB,2019,11,138650,109602
F9,2019,10,1352957,2046425
F9,2018,1,607125,1521016
AC,2018,7,163773,538036
NH,2019,6,173774,188443
CI,2018,7,206698,74896
VA,2019,12,45134,46712
AC,2018,5,177117,401489
9E,2018,1,337500,817219
AN,2018,8,41989,2414
MS,2019,10,34146,23082
NK,2018,10,656505,2329810
AS,2018,12,1451406,2835360
L2,2018,2,8393,0
VA,2018,10,45134,43413
KE,2018,8,358542,273282
BA,2019,7,408774,717511
WS,2019,12,322856,453626
CH,2019,5,1194,0
IFQ,2019,7,37071,40
KH,2019,5,1413,0
RVQ,2019,8,326,101
KAT,2019,8,2639,3934
VA,2019,6,45134,44542
02Q,2019,11,22236,818
1EQ,2019,5,16855,1263
SV,2019,5,69118,28401
S4,2018,11,9388,6646
3SD,2018,7,2632,1509
IFQ,2019,9,19937,23
04Q,2019,2,40030,3212
AM,2019,7,90649,297680
KAQ,2019,1,261806,0
AT,2019,6,23520,34106
G4,2018,2,873986,1006211
1LQ,2019,5,11335,5
22Q,2019,9,1264,33
EM,2018,3,14070,19627
PD,2018,6,3104,90647
KE,2018,7,399823,271503
AY,2019,9,39208,41364
1WQ,2018,8,3422,5569
NZ,2019,3,127128,92016
GCQ,2019,10,9094,8
O6,2018,5,34447,24207
24Q,2018,10,8617,7
WI,2018,2,71604,0
CA,2019,2,160789,116573
TP,2019,5,56900,65756
KX,2018,9,5607,10627
CM,2018,12,87216,263721
AX,2019,8,103723,269779
PT,2019,4,44119,419907
WST,2018,10,160,59
UP,2018,12,17341,49503
KL,2019,9,259414,207643
ABX,2019,11,108170,0
X4,2019,5,1066,1039
9S,2018,10,82618,0
WL,2019,11,7111,1169
MW,2019,11,362,1038
KO,2018,10,33571,318
4M,2018,2,8812,15889
AY,2019,4,53312,41271
CV,2019,9,187739,0
NLQ,2018,9,4939,114
8V,2019,4,34883,6586
Z3,2019,2,3027,896
ZX,2019,6,17420,105084
KZ,2018,6,58579,0
8E,2018,10,52701,14284
RJ,2018,4,36484,21900
5C,2019,11,64914,0
ZW,2018,4,82042,348694
GCH,2018,6,59,0
KX,2019,2,10424,13260
3BQ,2019,6,1402,1453
AR,2018,5,19376,38761
LX,2018,10,107216,146718
4C,2018,1,6024,8344
ET,2019,1,61710,26450
VI,2018,10,440,4981
VS,2019,1,204741,245411
B0,2018,7,7296,5710
WST,2019,6,160,576
Y8,2018,8,7057,0
KE,2018,6,368673,265571
8R,2019,11,9758,2501
2LQ,2019,11,10589,1735
LY,2018,2,87605,48941
TK,2018,1,147224,157329
2E,2018,5,514,2558
UO,2018,4,2138,2946
J2,2019,1,11662,1501
BA,2019,3,481306,604223
MF,2018,4,55030,19197
TN,2019,12,19530,27811
KO,2019,9,42012,799
4M,2019,9,8812,11580
Q6,2019,9,16992,14253
SN,2018,2,7334,9511
EM,2018,1,15945,19606
LJ,2019,2,7586,38593
WI,2018,6,82412,0
MW,2018,5,7624,22584
AMQ,2018,10,53415,168
TR,2019,1,8234,8247
YR,2019,1,0,9017
TR,2019,3,8234,10998
LV,2019,1,7296,6775
8C,2018,6,86686,0
KAH,2018,12,2838,2852
CM,2019,6,85810,254491
DY,2018,9,518118,259951
HX,2019,6,32650,26157
2TQ,2019,5,1692,772
38Q,2019,10,2384,5665
WW,2018,9,92308,131875
AF,2019,9,306772,375217
AX,2019,5,81377,269640
4B,2018,12,15807,14987
EK,2019,2,250429,233164
SA,2018,11,34538,25501
TA,2018,12,97827,124028
7C,2018,4,14926,65926
WST,2019,8,160,1016
LR,2019,2,28593,21977
LDQ,2018,11,4253,2
PO,2018,4,181016,0
S4,2019,12,22813,7179
AF,2019,7,297651,453690
OO,2018,9,1131875,3179356
SA,2019,5,34538,28591
PO,2019,12,162743,0
UX,2019,1,32812,17834
SK,2018,6,135219,133486
U7,2018,3,215342,0
JJ,2018,6,114793,92279
KAT,2019,10,1586,8
QR,2018,2,176152,137141
OO,2019,3,1378923,3565922
P3,2019,1,132146,0
EI,2018,6,103652,232192
1QQ,2019,1,90,2324
8V,2019,12,23973,6491
HBQ,2018,10,1324,623
3SD,2018,8,2632,1253
GV,2019,4,36596,13437
BF,2019,12,19560,17721
1WQ,2018,6,3422,5211
VI,2018,1,393,3718
0WQ,2018,12,69075,168
ADB,2019,6,26876,0
QR,2018,3,176152,168595
IB,2019,2,103822,71738
CAZ,2019,10,28564,17
X9,2018,12,124330,14759
QF,2018,9,184340,136869
EW,2019,3,34002,28744
MU,2019,4,94020,124108
W8,2018,5,20319,0
LA,2018,2,163484,74640
2HQ,2018,12,18396,2856
15Q,2019,7,67704,56
IG,2019,7,41822,35881
LH,2019,1,502330,402302
RU,2019,5,120905,0
JD,2019,6,3828,4119
02Q,2019,10,10395,369
KLQ,2018,10,85375,0
XL,2019,12,8951,12929
FJ,2019,1,47164,20669
3SD,2018,2,2632,1335
SY,2018,2,482239,275757
S4,2018,8,42826,20189
AF,2018,7,272664,423783
BA,2019,6,313361,667861
Q5,2018,6,1390,81
LF,2018,5,139646,13155
3S,2019,1,47255,0
2UQ,2018,1,14125,8
7S,2018,8,41871,354
TR,2018,4,8234,7030
G4,2018,3,939037,1374494
OZ,2018,9,147483,127816
MU,2018,4,94018,113942
KV,2018,3,29406,174332
WN,2018,6,3414681,15110630
QX,2018,6,85542,660902
AJQ,2018,10,7466,6310
N8,2018,7,61148,6601
WW,2018,3,61289,70717
B6,2018,7,833978,3951212
RVQ,2019,9,326,41
QT,2018,3,8427,0
27Q,2018,4,367397,1476
W8,2018,9,51565,0
H6,2018,8,98022,26636
AC,2019,6,193107,454282
ELL,2018,9,408,44
NK,2019,8,1173832,3165904
3EQ,2019,10,125009,514
TS,2018,1,26606,19332
PS,2019,3,9388,10533
TS,2018,12,30848,24080
M3,2018,12,58951,0
MS,2019,4,11230,18481
PP,2019,6,19725,46
FJ,2018,2,47164,15011
E7,2019,5,2552,0
ZX,2019,2,16772,57295
04Q,2019,4,42885,3276
K2,2018,4,14283,2146
J5,2018,7,14648,11611
WI,2018,7,76523,0
SVW,2018,3,29176,56
DL,2019,1,4305962,11224123
JQ,2019,9,21140,28023
12Q,2019,3,17346,7
0BQ,2019,3,8115,6
DY,2019,3,295802,208263
PD,2018,4,6624,67707
AAT,2018,8,908,1547
3F,2018,7,5064,4029
JU,2018,4,9022,5089
LP,2018,3,27530,48588
QK,2018,1,60077,107885
SU,2018,1,63446,67879
15Q,2019,4,72883,77
AM,2018,6,114144,273464
M7,2018,4,4136,0
EK,2019,3,243086,278213
J5,2018,10,9395,4393
1QQ,2019,7,90,1950
WS,2018,10,295938,402381
CI,2018,6,214190,71795
GFQ,2019,2,68823,0
SQ,2018,11,159426,87897
CH,2019,3,1194,0
QK,2019,12,70104,192667
MW,2018,12,2173,20755
W8,2018,1,17634,0
EQ,2019,5,3882,3781
TQQ,2019,5,16396,19859
M6,2019,7,83454,0
1XQ,2018,2,16185,6
I4,2018,9,2654,2619
CK,2019,10,31301,0
6R,2018,10,28386,0
ELL,2019,3,408,10
KV,2019,7,25944,247184
SEB,2019,8,4048,21534
PM,2019,7,3641,0
KLQ,2019,6,65273,0
10Q,2019,6,3263,2
U7,2019,9,126131,0
CP,2019,9,71308,493735
CV,2018,9,173868,0
4C,2019,9,6024,5109
UA,2019,7,5362572,11330034
KAH,2018,10,3433,4951
AI,2018,10,117087,73263
HBQ,2019,8,1333,835
W8,2018,4,25453,0
VH,2018,6,2776,4835
SK,2018,2,168152,68017
SA,2018,10,34538,27535
0CQ,2019,12,36594,36
MQ,2019,1,331360,1020750
0QQ,2019,4,12172,8
Z3,2019,12,1851,328
7L,2019,1,12356,0
DHQ,2019,7,6170,0
R0,2019,8,242,522
9X,2019,6,8312,8532
V8,2019,12,8834,658
Q5,2019,1,452,36
FI,2018,5,161480,122719
LP,2018,9,24730,42581
AZ,2018,11,64924,71060
27Q,2019,11,197265,549
WN,2018,2,2269742,11548517
PEQ,2018,9,2512,0
JJ,2018,11,112178,105729
RU,2019,7,102064,0
2OQ,2018,2,1270,917
NZ,2019,12,136472,104109
JU,2018,1,9388,5270
1ZQ,2019,6,20757,211
IB,2018,7,144920,153945
U7,2018,7,158215,0
SU,2018,8,51990,94525
PR,2019,6,91186,109387
AY,2019,2,18602,16469
R3,2018,9,3916,142
AV,2018,9,112542,144907
5Y,2018,9,583016,1293
DE,2018,7,112089,77980
4O,2019,12,58087,180774
C5,2019,11,56444,213837
AMQ,2018,3,86951,1071
N8,2019,9,35225,649
SV,2018,1,69118,32291
KL,2019,5,269376,202282
2OQ,2019,3,1458,1637
I4,2019,10,392,1497
5C,2018,2,40598,0
9X,2018,10,6904,9575
PH,2019,8,470,10286
MT,2018,8,109258,101468
0QQ,2019,11,13275,66
L7,2018,9,54784,0
UO,2019,10,2138,3
R0,2018,7,242,93
HBQ,2018,12,728,552
HA,2019,7,241090,1057735
LO,2018,4,74660,46929
3U,2018,8,34076,25608
QF,2018,4,164444,134867
8V,2018,6,32448,7131
GL,2019,4,120001,11545
XL,2018,12,5940,12877
0WQ,2018,1,135965,411
5D,2019,2,48992,50627
M7,2019,10,5412,0
V8,2019,7,19878,2301
13Q,2018,2,94102,515
A0,2018,9,7296,234
I4,2019,8,3843,4154
4W,2019,4,3629,733
RV,2019,8,85685,245723
1EQ,2018,4,14139,1263
1AQ,2018,10,18791,5626
YR,2019,5,5142,20033
TK,2019,11,170386,165760
2LQ,2019,7,13019,1797
K3,2018,7,4384,8364
KH,2019,7,1413,0
LH,2018,9,518825,582582
J2,2018,5,11662,1567
I4,2019,6,4977,3168
EQ,2019,11,3882,4676
JJ,2018,9,128198,104237
GL,2019,10,110786,6165
7S,2018,2,23479,40
BA,2018,9,405693,645613
WST,2019,5,160,293
YX,2018,5,623421,1701675
